time,D3+,D2H+,H2D+,H3+
0.0081,27.81102,116.55481,351.19441,465.98568
0.0139,96.52657,229.77889,375.15156,296.38254
0.0199,199.47921,299.18979,322.62655,179.82987
0.0259,313.63,313.63,250.1253,107.07367
0.0318,457.28214,302.02364,183.2526,62.56267
0.0376,568.00224,267.1879,122.18025,36.90133
0.0436,660.47549,225.48715,83.01188,20.96004
0.0495,718.95912,186.74049,57.47351,11.90535
0.0553,790.03413,146.14709,37.95985,7.15578
0.0613,820.39408,114.37783,22.816,3.5957
0.0672,820.39408,84.59186,14.51174,2.86763
0.0732,876.35825,68.10245,9.14335,1.28682
0.079,868.13549,48.96288,6.51202,0.99765
0.085,876.35825,40.54932,3.62975,0.4966
0.0909,876.35825,34.22068,2.33051,0.1
0.0968,901.49677,26.78183,1.53925,0.20089
0.1028,876.35825,22.60192,1.32374,0.19901
0.1087,893.03815,19.43742,0.7662,0.09906
0.1145,927.3564,17.68875,0.55086,
0.1205,901.49677,14.92801,0.43932,
0.1264,927.3564,13.97471,0.21868,
0.1322,901.49677,12.01811,0.32799,
0.1384,910.03552,13.84359,0.43932,
0.1441,927.3564,13.45756,0.21868,
0.15,945.00696,11.68298,,
